left right front stop_dist P I D 
32 65535 93 50 0 0 0 
29 32 55 50 -0.8 -0.52 -6551.099999999999 
29 32 70 50 -0.8 -1.04 0.0 
38 27 76 50 0.6000000000000001 -0.6499999999999999 1.4000000000000001 
39 29 83 50 0.8 -0.1299999999999999 0.19999999999999998 
29 32 50 50 -0.8 -0.6499999999999999 -1.5999999999999999 
25 30 81 50 0.5 -0.3249999999999999 1.3 
29 32 46 50 -0.8 -0.845 -1.3 
32 90 83 50 0 0 0 
29 91 84 50 -0.8 -0.52 -6.6 
26 92 82 50 -0.5 -0.845 0.3 
25 65535 77 50 -0.4 -1.105 0.09999999999999999 
25 84 73 50 -0.4 -1.365 0.0 
26 74 35 50 -0.5 -1.69 -0.09999999999999999 
65535 65535 65535 50 0 0 0 
45 74 152 50 0 0 0 
45 71 99 50 0 0 0 
35 68 52 50 0 0 0 
39 73 90 50 0 0 0 
44 12 86 50 -3.2 -2.08 -6.6 
41 68 134 50 0 -2.08 0 
42 73 63 50 0 -2.08 0 
42 72 137 50 0 -2.08 0 
42 68 65535 50 0 -2.08 0 
42 75 56 50 0 -2.08 0 
